我怎么可以哭,所属专辑,一滴眼泪
我怕你不肯,歌手,陈奕迅
我怕你不肯,所属专辑,陈奕迅
我怕你不肯,作曲,黄尚伟
我怕你不肯,作词,李敏
我感激,所属专辑,Nothing Really Matters
我感激,作曲,Jorge Sabogal
我感激,作曲,Gonzalo Polar
我感激,作词,林振强
我感激,歌手,陈奕迅
我甲你,作曲,乱弹阿翔
我甲你,所属专辑,上五楼的快活
我甲你,作词,乱弹阿翔
我甲你,歌手,陈奕迅
我的世界末日,作曲,王双骏
我的世界末日,歌手,陈奕迅
我的世界末日,所属专辑,天佑爱人
我的世界末日,作词,周耀辉
我的快乐时代,作词,林夕
我的快乐时代,作曲,林健华
我的快乐时代,歌手,陈奕迅
我终于放开了她,所属专辑,酝酿
我终于放开了她,歌手,陈奕迅
我终于放开了她,作词,吴旭文
我终于放开了她,作曲,黄中原
打回原形,作词,黄伟文
打回原形,作曲,阿飞
打回原形,歌手,陈奕迅
打得火热,作曲,陈辉阳
打得火热,歌手,陈奕迅
打得火热,作词,黄伟文
披风,作曲,Jerald
披风,作曲,MJ
披风,作词,易家扬
披风,所属专辑,放&披风
披风,歌手,陈奕迅
抱拥这分钟,作词,潘源良
抱拥这分钟,所属专辑,与我常在
抱拥这分钟,歌手,陈奕迅
抱拥这分钟,作曲,Jim Lee
拔河,作曲,林东松
拔河,所属专辑,婚礼的祝福
拔河,歌手,梁汉文
拔河,作词,陈静楠
拔河,歌手,陈奕迅
拜访,所属专辑,一滴眼泪
拜访,作曲,吴旭文
拜访,歌手,陈奕迅
拜访,作词,谢明讯
掏空,歌手,陈奕迅
掏空,作曲,潘协庆
掏空,作词,潘协庆
掏空,所属专辑,婚礼的祝福
摊开双手,所属专辑,酝酿
摊开双手,歌手,陈奕迅
收心操,歌手,陈奕迅
收心操,作词,葛大为
收心操,所属专辑,C'mon in~
收心操,作曲,Jerald Chan
改造人,歌手,陈奕迅
改造人,作曲,陈奕迅
改造人,作词,因葵
改造人,所属专辑,幸福
放,作曲,Jerald
放,作词,葛大为
放,歌手,陈奕迅
放下来,作曲,马念先
放下来,作词,林夕
放下来,歌手,陈奕迅
放弃治疗,作词,吴青峰
放弃治疗,歌手,陈奕迅
放弃治疗,作曲,林俊杰
放弃治疗,所属专辑,米·闪
故事,歌手,陈奕迅
故事,所属专辑,Special Thanks To…
故事,作词,林夕
故事,作曲,Adrian Fu
敌人,歌手,陈奕迅
敌人,所属专辑,与我常在
敌人,作词,罗颂怡
